feature,mean_abs_contribution,mean_signed_contribution
Local_feature_53,0.93822587,-0.6203441
Local_feature_59,0.61862946,-0.17238785
size,0.59879583,-0.44958654
Aggregate_feature_32,0.4273016,-0.33326882
Local_feature_58,0.3618498,-0.28527665
Aggregate_feature_7,0.3065644,0.30075407
Local_feature_2,0.30290046,-0.25821096
Local_feature_55,0.2951837,-0.22347422
Local_feature_3,0.28257188,0.069984205
Local_feature_90,0.26684746,-0.1401442
Local_feature_52,0.24593684,-0.19323266
Aggregate_feature_70,0.24361826,-0.079695076
fees,0.2384369,0.13830397
Aggregate_feature_68,0.22767662,-0.12795219
Aggregate_feature_2,0.21970598,-0.20143066
Aggregate_feature_13,0.2188619,-0.21216643
Aggregate_feature_45,0.20413667,-0.030396132
out_BTC_min,0.20129381,-0.18080509
Local_feature_89,0.19840446,-0.109685555
Local_feature_65,0.1983075,-0.11896513
Local_feature_76,0.19149546,-0.15497632
Local_feature_41,0.18933044,-0.088396266
Aggregate_feature_14,0.18802604,-0.18506755
Local_feature_67,0.18356052,-0.12309356
Local_feature_46,0.17838477,-0.06392028
Aggregate_feature_9,0.17050569,-0.08850286
Local_feature_80,0.1558767,-0.09708291
Local_feature_18,0.15540281,-0.10257279
Aggregate_feature_34,0.15211011,0.030223833
Local_feature_5,0.14982942,-0.08965576
Aggregate_feature_39,0.14696547,-0.11085012
Local_feature_64,0.14396062,-0.09883947
Local_feature_47,0.1436345,-0.05910929
Aggregate_feature_38,0.13398896,-0.114040434
Aggregate_feature_65,0.12159943,-0.09153674
Aggregate_feature_28,0.11286522,-0.036528196
Local_feature_88,0.11014892,-0.07662244
Local_feature_16,0.109341785,-0.09900994
Local_feature_25,0.1060434,-0.07500521
Local_feature_23,0.099373266,-0.04948844
Local_feature_49,0.098832324,-0.070663504
Aggregate_feature_16,0.093961164,-0.087918654
Local_feature_43,0.092957415,-0.061316893
Local_feature_79,0.09266463,-0.01517183
in_BTC_median,0.09180072,-0.048275143
Aggregate_feature_50,0.09101028,-0.07242701
Aggregate_feature_46,0.08966752,0.085612915
Local_feature_9,0.088949405,-0.043501146
Local_feature_22,0.085794754,-0.08133358
Local_feature_8,0.0848806,-0.04769881
Local_feature_72,0.08359748,0.026170459
Local_feature_61,0.07913395,-0.016108643
Local_feature_83,0.07870222,-0.02194598
Aggregate_feature_37,0.07274956,-0.055693958
Aggregate_feature_51,0.07072129,-0.046320297
Aggregate_feature_4,0.070091255,-0.06527601
in_BTC_min,0.06979428,-0.03984965
Aggregate_feature_58,0.06933224,0.023295542
Local_feature_29,0.06856069,-0.037861876
Local_feature_40,0.06756761,-0.051804185
Aggregate_feature_61,0.06666795,-0.03368294
Aggregate_feature_43,0.066586345,0.06156595
Aggregate_feature_40,0.06416612,-0.05343682
Aggregate_feature_8,0.05928618,0.028206352
Local_feature_73,0.056444526,0.012029678
Local_feature_20,0.054895006,-0.019814942
Aggregate_feature_66,0.054239757,-0.04178523
Aggregate_feature_49,0.054040503,-0.007026477
out_BTC_median,0.053898036,-0.028472776
Aggregate_feature_57,0.05313906,-0.033797733
Local_feature_1,0.0525061,-0.04143491
Local_feature_77,0.052416526,-0.04127643
Aggregate_feature_21,0.05187399,-0.03666378
Local_feature_60,0.051352423,-0.030086042
Aggregate_feature_69,0.05121401,-0.04603814
Aggregate_feature_67,0.04844511,-0.008440992
Local_feature_54,0.047893927,-0.039139293
Aggregate_feature_10,0.047650356,0.04436013
Local_feature_28,0.046000656,-0.026432807
Aggregate_feature_1,0.045772824,-0.01798103
Aggregate_feature_62,0.04557854,-0.034251682
Local_feature_81,0.04524932,-0.0262394
total_BTC,0.04422176,-0.034921285
Local_feature_13,0.04368943,-0.02545491
Aggregate_feature_22,0.043685135,-0.0180485
Local_feature_91,0.043321032,-0.028278863
Local_feature_92,0.04310224,-0.018788379
Aggregate_feature_44,0.041535024,0.03139716
Aggregate_feature_71,0.041319206,-0.0035617184
Aggregate_feature_64,0.041153524,-0.015109943
Local_feature_84,0.04103864,-0.015415793
Local_feature_42,0.03969153,-0.012850325
Local_feature_31,0.039192274,-0.020432735
Local_feature_85,0.038752556,-0.016146291
Aggregate_feature_63,0.036961045,-0.031454023
Aggregate_feature_56,0.03654657,-0.002241566
Local_feature_11,0.03532105,-0.03341371
Aggregate_feature_15,0.03394092,0.001441291
Aggregate_feature_52,0.033792675,-0.0041453578
Local_feature_78,0.032482926,-0.003969592
Aggregate_feature_26,0.032181,-0.017309694
Aggregate_feature_6,0.03170214,-0.02291701
Aggregate_feature_55,0.03141836,-0.00077232363
Local_feature_66,0.030260727,-0.021225145
Local_feature_24,0.029933482,-0.012202965
Local_feature_14,0.029352205,-0.024424434
Local_feature_71,0.02716999,-0.002060545
Local_feature_48,0.027117796,-0.020501167
Aggregate_feature_72,0.026643148,-0.0066154543
Local_feature_57,0.026274415,-0.017267052
Local_feature_30,0.025031572,-0.009903951
Aggregate_feature_27,0.02488198,-0.011995782
Aggregate_feature_3,0.024484525,-0.016845753
num_output_addresses,0.024108471,-0.01586577
Aggregate_feature_31,0.023414945,-0.0001768389
Aggregate_feature_29,0.023214534,-0.0056576533
in_BTC_max,0.022950133,-0.016489692
in_txs_degree,0.02264237,-0.0100612985
Aggregate_feature_33,0.02235814,-0.0015002732
Aggregate_feature_47,0.022217028,-0.010153639
Aggregate_feature_59,0.021850675,-0.007576489
Local_feature_12,0.021174245,-0.012940245
in_BTC_mean,0.01987357,-0.014071843
out_BTC_max,0.017593963,-0.007381849
Local_feature_44,0.016399745,0.0005854217
Aggregate_feature_41,0.016321564,-0.010452623
Aggregate_feature_53,0.015951756,-0.01131895
Aggregate_feature_60,0.015298383,-0.0060602934
Aggregate_feature_11,0.014883355,-0.011923304
Local_feature_10,0.014223818,-0.012246149
Local_feature_26,0.013882223,-0.006658362
Aggregate_feature_19,0.013820501,-0.0073616663
Aggregate_feature_42,0.012092749,-0.004390796
Aggregate_feature_12,0.011915776,-0.008686587
Aggregate_feature_20,0.011543882,-0.0024620872
Local_feature_17,0.010921634,-0.0045809834
Local_feature_56,0.010852806,-0.008564461
Aggregate_feature_17,0.010264166,-0.0031559921
Aggregate_feature_5,0.010196861,-0.0045853755
Aggregate_feature_30,0.010015174,-0.007648513
Local_feature_19,0.009888334,-0.0062683416
in_BTC_total,0.008890477,-0.0057645473
Local_feature_45,0.008876761,-0.0012951769
Aggregate_feature_54,0.00865411,-0.0039711464
Aggregate_feature_48,0.008554567,-0.0051892167
Local_feature_27,0.008031506,-0.005843089
Local_feature_62,0.007861974,-0.003097074
out_txs_degree,0.007848124,-0.0065435683
Aggregate_feature_18,0.007617939,-0.0053723827
Local_feature_34,0.0073551885,-0.0026091044
Local_feature_50,0.007087712,-0.001126784
Local_feature_37,0.0068301726,0.0013196898
Local_feature_86,0.006203949,2.3407694e-05
Aggregate_feature_25,0.0060790414,-0.0022479668
out_BTC_mean,0.0059166714,-0.00025909054
Local_feature_82,0.0058043785,-0.0027864487
Aggregate_feature_23,0.005491009,-0.003600086
Aggregate_feature_24,0.0050271205,-0.0038936147
Local_feature_4,0.0049013705,-0.004173351
