config,model,feature_count,config_description,pr_auc,roc_auc,f1,threshold,best_val_f1,recall@1.0%
aggregate_only,Logistic Regression,72,AF94–AF182 neighbor-aggregated descriptors,0.2025356323796843,0.8105376470069142,0.265680473372781,0.9604329800235036,0.4855581576411045,0.0267295597484276
aggregate_only,MLP,72,AF94–AF182 neighbor-aggregated descriptors,0.3481094955779612,0.8174012987647961,0.4201388888888889,0.9636866450309752,0.5945366898274342,0.1179245283018868
aggregate_only,Random Forest,72,AF94–AF182 neighbor-aggregated descriptors,0.4791147002090006,0.8196937539800088,0.5004849660523764,0.4100031729746431,0.7351821641705151,0.160377358490566
aggregate_only,XGBoost,72,AF94–AF182 neighbor-aggregated descriptors,0.5090054860515254,0.8629250708948372,0.5137254901960784,0.6788506507873535,0.7591397848969108,0.1556603773584905
full,Logistic Regression,182,All features (baseline reference),0.1638064500179374,0.8239236685007502,0.2559489262913523,0.9703135971230148,0.5263157894267213,0.0047169811320754
full,MLP,182,All features (baseline reference),0.3638919006854599,0.8296721724944726,0.4863915715539947,0.8363953828811646,0.7201125175309077,0.0943396226415094
full,Random Forest,182,All features (baseline reference),0.6582911858436294,0.877261971627755,0.6944971537001897,0.4860936447722161,0.957509881372958,0.1745283018867924
full,XGBoost,182,All features (baseline reference),0.6688945760598035,0.8880831979832238,0.6987724268177526,0.7670755386352539,0.9536489151374048,0.1745283018867924
local_only,Logistic Regression,93,AF1–AF93 local transaction descriptors,0.1470304361357259,0.7998695093767217,0.312475709288768,0.8834193808990235,0.5954255717559798,0.0031446540880503
local_only,MLP,93,AF1–AF93 local transaction descriptors,0.2352259277042235,0.8129044851568034,0.4145021645021645,0.9577903747558594,0.8334142787261083,0.0015723270440251
local_only,Random Forest,93,AF1–AF93 local transaction descriptors,0.6489596740242263,0.8458120022753128,0.6685133887349953,0.5714665905132299,0.9437869821985488,0.1745283018867924
local_only,XGBoost,93,AF1–AF93 local transaction descriptors,0.6481968616410554,0.8713130510895982,0.6534466477809254,0.8515293598175049,0.9283925888334033,0.1745283018867924
local_plus_structural,Logistic Regression,110,Local descriptors plus manual structural stats,0.15140518359661007,0.8018013787823498,0.309145880574452,0.8879714177909644,0.584202682515904,0.0031446540880503146
local_plus_structural,MLP,110,Local descriptors plus manual structural stats,0.2249371642138942,0.8124195054414322,0.4665391969407266,0.9908278584480286,0.7909900470954848,0.0047169811320754715
local_plus_structural,Random Forest,110,Local descriptors plus manual structural stats,0.6473079028164673,0.8335667675531802,0.6672811059907834,0.5078865991927037,0.9457593687863198,0.17452830188679244
local_plus_structural,XGBoost,110,Local descriptors plus manual structural stats,0.635528814276902,0.8758027096257182,0.6086956521739131,0.7475334405899048,0.9265873015373459,0.17452830188679244
